"ID","Country","Latitude","Longitude","Sentiment"
0,"Andorra",42.5,1.5,2
1,"Afghanistan",33,67,3
2,"Argentina",-38,-63,3
3,"Australia",-25,133,3
4,"Austria",47,14,2
5,"Azerbaijan",40,47,1
6,"Bangladesh",23,90,2
7,"Belgium",50,4,2
8,"Brazil",-14,-51,2
9,"Bulgaria",42,25,3
10,"Chile",-35,-71,2
11,"China",35,104,2
12,"Colombia",4,-74,1
13,"Croatia",45,2,2
14,"Czech Republic",49,15,2
15,"Denmark",56,9,2
16,"Ecuador",-1,-78,3
17,"Egypt",26,30,3
18,"Estonia",58,25,2
19,"Finland",61,25,2
20,"France",46,2,2
21,"Germany",51,10,3
22,"Greece",39,21,3
23,"Greenland",71,-42,1
24,"Guam",13,144,1
25,"Hong Kong",22,114,2
26,"Hungary",47,19,2
27,"India",20,78,3
28,"Indonesia",0,113,2
29,"Iran",32,53,3
30,"Iraq",33,43,3
31,"Ireland",53,-8,1
32,"Israel",31,34,3
33,"Italy",41,12,1
34,"Japan",36,138,3
35,"Kenya",0,37,2
36,"Kuwait",29,47,1
37,"Latvia",56,24,2
38,"Liberia",6,-9,3
39,"Lithuania",55,23,3
40,"Macedonia [FYROM]",41,21,1
41,"Malaysia",4,101,2
42,"Marshall Islands",7,171,2
43,"Mexico",23,-102,2
44,"Morocco",31,-7,3
45,"Nepal",28,84,2
46,"Netherlands",52,5,2
47,"New Zealand",-40,174,2
48,"Nigeria",9,8,2
49,"Oman",21,55,2
50,"Pakistan",30,69,2
51,"Peru",-9,-75,3
52,"Poland",51,19,3
53,"Portugal",39,-8,3
54,"Romania",45,24,2
55,"Russia",61,105,3
56,"Saudi Arabia",23,45,3
57,"Singapore",1,103,2
58,"Slovenia",46,14,1
59,"South Africa",-30,22,2
60,"Spain",40,-3,3
61,"Sri Lanka",7,80,3
62,"Sweden",60,18,2
63,"Taiwan",23,120,1
64,"Thailand",15,100,2
65,"Turkey",38,35,2
66,"Ukraine",48,31,2
67,"United Arab Emirates",23,53,3
68,"United Kingdom",55,-3,3
69,"United States",37,-95,3
70,"Venezuela",6,-66,3
71,"Vietnam",14,108,1
